1; 77311.23;3453.31;12758.3;6250.78;
2; 75077.71;7239.34;14338.24;8183.0;
3; 85718.68;8363.96;31062.86;10829.41;
4; 51639.65;6100.78;17122.02;12974.31;
5; 27825.29;9320.52;8992.08;8848.98;
6; 23605.71;10258.01;6573.87;3823.97;
7; 18280.22;5490.92;4973.43;2309.62;
8; 16930.57;4291.12;4154.57;1420.56;
9; 17403.7;7572.3;4062.63;1389.26;
10; 20919.94;8915.15;5873.36;1651.72;
11; 28796.47;3900.32;8669.39;1573.5;
12; 46781.3;1524.21;12730.85;2860.18;
13; 69281.0;3182.39;19678.09;10873.37;
14; 137273.93;3353.54;21790.26;9812.59;
15; 132485.8;6566.73;16969.15;13598.29;
16; 68857.08;3927.59;17982.61;13338.27;
17; 42889.34;20336.33;9710.07;9664.14;
18; 27490.13;12658.44;5690.8;4377.4;
19; 20788.22;12370.26;4534.81;2194.6;
20; 18319.25;10041.14;3953.14;1551.35;
21; 19111.1;6260.35;3025.34;993.82;
22; 27797.17;14568.43;2289.73;1284.19;
23; 31409.08;7598.27;3233.12;1996.51;
24; 51533.26;2687.58;2530.06;6573.72;
25; 55699.2;3813.0;8484.49;7570.93;
26; 58745.5;4616.09;10659.27;12320.24;
27; 47002.52;5630.74;9881.82;13071.49;
28; 35128.3;6584.22;9052.28;12868.87;
29; 28881.74;7895.31;6025.9;9201.34;
30; 27925.93;23213.83;3688.55;3933.68;
31; 19478.73;16652.21;3620.37;2445.28;
32; 17959.28;6603.66;3642.51;1739.94;
33; 19562.27;6908.18;3718.58;1333.85;
34; 21116.45;7517.98;3527.83;1233.72;
35; 25567.35;11881.53;4718.77;1880.24;
36; 49547.88;6222.98;13126.34;4912.0;
37; 72885.37;7520.99;7802.3;8861.34;
38; 94135.03;9194.51;5837.27;15379.14;
39; 64236.32;8480.05;5283.8;22008.99;
40; 45577.47;3736.23;3187.01;20148.64;
41; 33441.28;2566.8;2777.58;11365.98;
42; 27732.24;3493.33;2440.26;5961.43;
43; 24726.08;7193.92;2220.57;3438.31;
44; 16979.7;2415.31;1878.74;2369.39;
45; 16718.91;2446.88;1474.58;1145.48;
46; 18696.08;5665.08;1597.22;1246.94;
47; 27029.4;5274.09;1563.34;1619.91;
48; 42931.4;5409.92;2262.61;3211.58;
49; 59138.21;6188.98;8921.66;9020.52;
50; 61234.54;4186.19;13552.79;11936.22;
51; 49648.42;2963.55;11773.06;11916.56;
52; 42857.89;2046.38;10428.65;11083.64;
53; 34227.64;8816.74;6654.27;7608.95;
54; 25291.37;6163.5;4460.83;3604.42;
55; 21389.43;12063.29;3660.91;2630.89;
56; 20641.43;8579.79;3273.03;1883.11;
57; 22569.48;4025.28;3077.56;1451.89;
58; 29350.43;3242.33;4101.62;1126.79;
59; 33278.16;7359.56;4757.22;1476.31;
60; 34168.64;5287.39;5820.0;4883.93;
